DFIRM_ID,FIRM_PAN,PANEL,ST_FIPS,PCOMM,EFF_DATE,PRE_DATE,PANEL_TYP,eff_date,pre_date,county_fips
01053C,01053C0755E,0755,01,053C,1338854400000.0,253392451200000.0,"Countywide, Panel Printed",2012-06-05,9999-09-09,12053
01053C,01053C0632E,0632,01,053C,1338854400000.0,253392451200000.0,"Countywide, Panel Printed",2012-06-05,9999-09-09,12053
01053C,01053C0651E,0651,01,053C,1338854400000.0,253392451200000.0,"Countywide, Panel Printed",2012-06-05,9999-09-09,12053
01053C,01053C0580E,0580,01,053C,1338854400000.0,253392451200000.0,"Countywide, Panel Printed",2012-06-05,9999-09-09,12053
01053C,01053C0585F,0585,01,053C,1583452800000.0,1529280000000.0,"Countywide, Panel Printed",2020-03-06,2018-06-18,12053
01053C,01053C0605F,0605,01,053C,1583452800000.0,1529280000000.0,"Countywide, Panel Printed",2020-03-06,2018-06-18,12053
01053C,01053C0610E,0610,01,053C,1338854400000.0,253392451200000.0,"Countywide, Panel Printed",2012-06-05,9999-09-09,12053
01053C,01053C0630E,0630,01,053C,1338854400000.0,253392451200000.0,"Countywide, Not Printed",2012-06-05,9999-09-09,12053
01053C,01053C0635E,0635,01,053C,1338854400000.0,253392451200000.0,"Countywide, Not Printed",2012-06-05,9999-09-09,12053
01053C,01053C0700E,0700,01,053C,1338854400000.0,253392451200000.0,"Countywide, Not Printed",2012-06-05,9999-09-09,12053
01053C,01053C0725E,0725,01,053C,1338854400000.0,253392451200000.0,"Countywide, Panel Printed",2012-06-05,9999-09-09,12053
01053C,01053C0750E,0750,01,053C,1338854400000.0,253392451200000.0,"Countywide, Panel Printed",2012-06-05,9999-09-09,12053
01061C,01061C0455D,0455,01,061C,1203465600000.0,253392451200000.0,"Countywide, Panel Printed",2008-02-20,9999-09-09,12061
01061C,01061C0460D,0460,01,061C,1203465600000.0,253392451200000.0,"Countywide, Panel Printed",2008-02-20,9999-09-09,12061
01061C,01061C0480D,0480,01,061C,1203465600000.0,253392451200000.0,"Countywide, Panel Printed",2008-02-20,9999-09-09,12061
01061C,01061C0485D,0485,01,061C,1203465600000.0,253392451200000.0,"Countywide, Panel Printed",2008-02-20,9999-09-09,12061
01061C,01061C0501D,0501,01,061C,1203465600000.0,253392451200000.0,"Countywide, Panel Printed",2008-02-20,9999-09-09,12061
01061C,01061C0385D,0385,01,061C,1203465600000.0,253392451200000.0,"Countywide, Panel Printed",2008-02-20,9999-09-09,12061
01061C,01061C0405D,0405,01,061C,1203465600000.0,253392451200000.0,"Countywide, Panel Printed",2008-02-20,9999-09-09,12061
01061C,01061C0430D,0430,01,061C,1203465600000.0,253392451200000.0,"Countywide, Panel Printed",2008-02-20,9999-09-09,12061
01061C,01061C0435D,0435,01,061C,1203465600000.0,253392451200000.0,"Countywide, Panel Printed",2008-02-20,9999-09-09,12061
01061C,01061C0360D,0360,01,061C,1203465600000.0,253392451200000.0,"Countywide, Not Printed",2008-02-20,9999-09-09,12061
01061C,01061C0380D,0380,01,061C,1203465600000.0,253392451200000.0,"Countywide, Not Printed",2008-02-20,9999-09-09,12061
01061C,01061C0410D,0410,01,061C,1203465600000.0,253392451200000.0,"Countywide, Not Printed",2008-02-20,9999-09-09,12061
01069C,01069C0430G,0430,01,069C,1409702400000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-03,9999-09-09,12069
